qid,number_of_words
1,15
3,11
5,15
7,13
9,16
11,20
13,5
15,8
17,9
19,13
21,10
23,10
25,8
27,8
29,31
31,18
33,5
35,13
37,15
39,10
41,6
43,7
45,10
47,8
49,18
51,15
53,5
55,9
57,9
59,9
61,10
63,17
65,15
67,22
69,9
71,14
73,27
75,31
77,7
79,18
81,5
83,9
85,10
87,17
89,16
91,10
93,12
95,27
97,14
99,6
101,10
103,16
105,6
107,14
109,9
111,8
113,5
115,10
117,29
119,9
121,12
123,15
125,16
127,7
129,10
131,12
133,8
135,9
137,8
139,22
141,7
143,7
145,7
147,18
149,16
151,22
153,7
155,14
157,9
159,6
161,27
163,13
165,27
167,6
169,15
171,10
173,23
175,9
177,10
179,15
181,11
183,17
185,11
187,5
189,7
191,6
193,11
195,7
197,32
199,11
201,21
203,10
205,16
207,9
209,11
211,14
213,8
215,8
217,10
219,12
221,9
223,10
225,10
227,7
229,8
231,14
233,15
235,13
237,15
239,12
241,9
243,13
245,8
247,9
249,8
251,19
253,8
255,13
257,23
259,8
261,6
263,6
265,9
267,13
269,11
271,6
273,10
275,11
277,8
279,8
281,7
283,7
285,11
287,7
289,21
291,11
293,8
295,24
297,13
299,14
301,7
303,9
305,9
307,9
309,5
311,7
313,23
315,11
317,13
319,8
321,8
323,28
325,8
327,10
329,12
331,11
333,9
335,22
337,7
339,17
341,10
343,8
345,9
347,12
349,10
351,8
353,9
355,13
357,9
359,4
361,8
363,9
365,15
367,8
369,13
371,24
373,11
375,24
377,11
379,11
381,9
383,8
385,8
387,19
389,11
391,10
393,9
395,11
397,9
399,17
401,13
403,18
405,9
407,7
409,30
411,23
413,9
415,13
417,18
419,5
421,19
423,36
425,15
427,11
429,16
431,8
433,17
435,10
437,10
439,7
441,7
443,6
445,8
447,13
449,9
451,17
453,19
455,5
457,12
459,17
461,10
463,10
465,22
467,6
469,16
471,9
473,10
475,15
477,13
479,13
481,11
483,42
485,18
487,12
489,14
491,8
493,5
495,7
497,29
499,14
501,8
503,10
505,11
507,9
509,11
511,6
513,16
515,10
517,15
519,14
521,19
523,11
525,9
527,11
530,11
532,23
534,16
536,10
538,8
540,11
542,9
544,37
546,12
548,12
550,16
552,20
554,6
556,12
558,6
560,9
562,17
564,20
566,29
568,11
570,12
572,7
574,14
576,10
578,15
580,17
582,17
584,4
586,7
588,8
590,17
592,9
594,15
596,13
598,8
600,8
602,8
604,5
606,4
608,8
610,20
612,19
614,11
616,9
618,12
620,9
622,8
624,18
626,9
628,7
630,9
632,19
634,8
636,7
638,7
640,48
642,14
644,6
646,6
648,12
650,10
652,13
653,10
655,6
657,6
659,19
661,12
663,9
665,9
667,16
669,13
671,9
673,10
675,31
677,10
679,9
681,4
683,12
685,17
687,10
689,15
691,10
693,7
695,9
697,10
699,8
701,13
703,16
705,9
706,17
708,18
710,17
712,13
714,12
716,6
718,9
720,6
722,37
724,12
726,8
728,12
730,16
732,7
734,9
736,7
738,8
740,29
742,9
744,8
746,8
748,31
750,11
752,9
754,9
756,11
758,11
760,8
762,17
764,10
766,9
768,8
770,13
772,10
774,5
776,10
778,13
780,9
782,10
784,7
786,10
788,4
790,12
792,12
794,34
796,10
798,8
800,7
802,11
804,8
806,10
808,7
810,30
812,15
814,14
816,6
818,29
820,14
822,11
824,31
826,17
828,12
830,8
832,9
834,13
836,7
838,8
840,5
842,8
844,23
846,13
848,14
850,9
852,26
854,11
856,14
858,12
860,11
862,12
864,11
866,9
868,7
870,15
872,9
874,10
876,22
878,12
880,8
882,9
884,9
886,9
888,8
890,10
892,5
894,9
896,18
898,8
900,8
902,14
904,13
906,11
908,10
910,12
912,10
914,15
916,7
918,11
920,16
922,11
924,17
926,6
928,24
930,15
932,9
934,11
936,8
938,15
940,12
942,6
944,16
946,6
948,6
950,6
952,9
954,9
956,5
958,10
960,11
962,8
964,8
966,13
968,4
970,12
972,15
974,8
976,15
978,8
980,11
982,7
984,4
986,10
988,8
990,19
992,5
994,11
996,9
998,12
1000,8
1002,9
1004,10
1006,10
1008,10
1010,9
1012,10
1014,11
1016,11
1018,29
1020,15
1022,6
1024,8
1026,7
1028,13
1030,10
1032,12
1034,5
1036,35
1038,10
1040,12
1042,10
1044,11
1046,7
1048,9
1050,11
1052,13
1054,36
1056,10
1058,12
1060,24
1062,7
1064,7
1066,10
1068,25
1070,15
1072,8
1074,9
1076,19
1078,10
1080,11
1082,5
1084,19
1086,8
1088,9
1090,10
1092,8
1094,10
1096,8
1098,7
1100,18
1102,14
1104,16
1106,13
1108,9
1110,7
1112,10
1114,10
1116,7
1118,11
1120,20
1122,15
1124,7
1126,8
1128,9
1130,10
1132,18
1134,7
1136,28
1138,25
1140,11
1142,10
1144,11
