qid,pos_tag_count
1,"Counter({'NN': 5, 'IN': 3, 'VB': 1, 'WP': 1, '.': 1, 'TO': 1, 'RB': 1, 'VBZ': 1, 'DT': 1})"
3,"Counter({'NN': 3, ')': 1, '(': 1, 'WP': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'DT': 1})"
5,"Counter({'NN': 3, 'VB': 2, 'IN': 2, 'DT': 2, 'MD': 1, 'WRB': 1, 'PRP$': 1, '.': 1, 'JJ': 1, 'VBG': 1})"
7,"Counter({'RB': 3, 'VB': 2, 'WRB': 2, '.': 2, 'MD': 1, 'JJ': 1, 'VBP': 1, 'PRP': 1})"
9,"Counter({'NN': 8, ',': 2, 'IN': 2, 'CC': 1, 'CD': 1, 'WDT': 1, '.': 1})"
11,"Counter({'NN': 7, 'VBP': 2, 'DT': 2, ':': 2, 'CC': 1, 'IN': 1, '.': 1, 'PRP': 1, 'JJ': 1, 'WP': 1, 'VBZ': 1})"
13,"Counter({'VB': 2, 'MD': 1, '.': 1, 'IN': 1})"
15,"Counter({'VB': 2, 'MD': 1, 'WRB': 1, 'NN': 1, '.': 1, 'JJ': 1, 'DT': 1})"
17,"Counter({'VB': 1, 'WRB': 1, 'RB': 1, '.': 1, 'VBP': 1, 'PRP': 1, 'JJ': 1, 'IN': 1, 'NNS': 1})"
19,"Counter({'NN': 6, 'VB': 2, 'MD': 1, '(': 1, 'PRP$': 1, 'CD': 1, '.': 1})"
21,"Counter({'NN': 4, 'VB': 1, 'VBG': 1, '.': 1, 'TO': 1, 'IN': 1, 'NNS': 1})"
23,"Counter({'VB': 3, 'WRB': 1, 'NN': 1, 'CC': 1, 'PRP$': 1, '.': 1, 'VBP': 1, 'NNS': 1})"
25,"Counter({'VB': 2, 'MD': 1, '.': 1, 'TO': 1, 'JJ': 1, 'WP': 1, 'NNS': 1})"
27,"Counter({'JJ': 2, 'PRP$': 1, 'NN': 1, 'VBD': 1, 'WP': 1, '.': 1, 'IN': 1})"
29,"Counter({'NN': 6, 'DT': 5, 'TO': 3, 'IN': 3, 'VB': 2, 'VBP': 2, 'PRP': 2, 'NNS': 2, 'WRB': 1, 'PRP$': 1, ',': 1, 'WDT': 1, 'JJ': 1, '.': 1})"
31,"Counter({'NN': 6, 'JJ': 3, 'IN': 2, 'DT': 2, 'MD': 1, '.': 1, 'WDT': 1, 'NNS': 1, 'NNP': 1})"
33,"Counter({'VBZ': 1, 'VB': 1, '.': 1, 'NN': 1, 'WP': 1})"
35,"Counter({'VB': 2, 'VBP': 2, 'NNS': 2, 'WRB': 1, 'NN': 1, '.': 1, 'TO': 1, 'PRP': 1, 'IN': 1, 'DT': 1})"
37,"Counter({'NNS': 3, 'RB': 2, 'VBP': 2, 'WRB': 1, 'NN': 1, 'VBN': 1, '.': 1, 'WDT': 1, 'JJ': 1, 'IN': 1, 'VBG': 1})"
39,"Counter({'NN': 3, 'JJS': 1, '.': 1, 'WDT': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'DT': 1})"
41,"Counter({'VB': 1, 'WRB': 1, '.': 1, 'VBP': 1, 'JJ': 1, 'NNS': 1})"
43,"Counter({'NN': 2, 'VB': 1, 'VBG': 1, '.': 1, 'TO': 1, 'JJ': 1})"
45,"Counter({'NNS': 2, 'MD': 1, 'VB': 1, '.': 1, 'VBP': 1, 'WDT': 1, 'RB': 1, 'IN': 1, 'DT': 1})"
47,"Counter({'NN': 2, 'WRB': 1, 'CD': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, '.': 1})"
