iter	MultiClass
0	-0.6682239611
1	-0.6454639807
2	-0.6232926786
3	-0.6018781764
4	-0.5822788686
5	-0.5626008066
6	-0.5446998688
7	-0.5268192324
8	-0.5108266109
9	-0.4956207442
10	-0.4807406801
11	-0.4667627206
12	-0.4531299763
13	-0.4398305023
14	-0.4277358709
15	-0.4152004378
16	-0.4035723079
17	-0.3925249363
18	-0.3816729959
19	-0.3717370432
20	-0.3614806278
21	-0.3523822274
22	-0.3431006769
23	-0.3340884784
24	-0.3257152688
25	-0.3174567345
26	-0.3099968414
27	-0.3024522233
28	-0.2949446327
29	-0.2877244014
