,xgb_train,lgbm_train,cat_train,xgb_test,lgbm_test,cat_test
autoHorse.arff,1552893.313,4929738.634,46399613.306,5356159.353,8714212.79,50409272.007
autoPrice.arff,1554388.465,4940682.62,46543169.791,5184658.358,6996745.04,50717427.617
fishcatch.arff,2471.42,17085.324,85497.995,6723.251,23018.819,90975.824
pbc.arff,421227.541,332774.018,1628692.932,815840.495,807035.167,1691598.14
pharynx.arff,54826.497,79789.336,198311.521,120980.321,115753.395,222760.236
airfoil-self-noise.csv,42.546,4.303,2683.096,44.006,6.021,2692.469
ASP.csv,0.112,0.038,0.414,0.188,0.164,0.44
CASP.csv,25.311,19.268,39.293,25.611,20.134,39.36
Concrete_Data_Yeh.csv,40.235,15.404,379.777,49.587,31.12,388.177
house.csv,1307570493.738,755594678.112,2190106685.271,1401439598.776,1065745118.535,2219377035.454
insurance.csv,18799968.283,14199883.697,83943397.653,20600649.775,21142944.414,84594980.938
iowa-houseprice.csv,600222285.835,433323147.099,8925566947.175,1130355798.181,938705191.323,9077384528.802
Life-Expectancy-Data.csv,13.541,1.956,847.552,14.962,3.986,849.515
OnlineNewsPopularity.csv,110602242.386,102458683.793,132018286.916,136140336.518,134765185.207,135190822.337
prolife.csv,3.909,3.4,9.978,3.94,3.511,9.988
servo.csv,0.182,0.732,1.551,0.47,0.88,1.771
student-math.csv,1.867,1.612,34.506,3.16,2.968,36.504
winequality-white.csv,0.523,0.339,6.352,0.564,0.458,6.369
2dplane.data,1.317,1.034,5.016,1.321,1.038,5.022
abalone.data,4.626,3.25,23.306,5.055,4.617,23.371
adult.data,0.329,0.289,0.437,0.332,0.299,0.438
breast-cancer-wisconsin.csv,0.064,0.065,0.331,0.134,0.132,0.35
car.data,0.384,0.163,0.685,0.395,0.19,0.694
cmc.data,0.854,0.708,0.963,0.918,0.922,0.983
crx.data,0.265,0.212,0.446,0.332,0.329,0.451
CTG.xls,0.078,0.062,0.366,0.091,0.078,0.368
data-banknote-authentication.txt,0.083,0.036,0.315,0.1,0.055,0.32
Data-Cortex-Nuclear.xls,0.092,0.079,0.487,0.122,0.102,0.485
flare.csv,0.578,0.536,0.895,0.629,0.623,0.909
Frogs-MFCCs.csv,0.188,0.103,0.705,0.241,0.176,0.718
heart.dat,0.245,0.239,0.485,0.436,0.428,0.532
messidor-features.arff,0.516,0.285,0.624,0.59,0.57,0.638
MEU-Mobile KSD 2016.xlsx,0.176,0.149,1.643,0.515,0.471,1.764
nursery.data,1.411,1.334,1.458,1.418,1.364,1.463
parkinson.txt,0.027,0.024,0.257,0.027,0.024,0.26
pendigits-train.txt,0.276,0.103,0.781,0.314,0.158,0.792
PhishingData.arff,0.772,0.706,0.882,0.814,0.834,0.897
titanic-train.csv,0.388,0.337,0.698,0.472,0.485,0.714
voice-gender.csv,0.076,0.048,0.289,0.097,0.086,0.293
