age,val
20,1347.96741178
21,1603.39032234
25,4545.00563148
26,1143.32577327
27,593.555850264
28,1322.26317359
29,2604.7994098
30,2991.34879276
31,5488.18015133
32,3263.62729512
33,1492.96918477
34,3575.66320537
35,8883.33633691
36,1911.57196987
37,4144.87159337
38,3032.71987959
39,4433.01275315
40,2561.11184263
41,5016.35739209
42,11867.2891987
43,2274.97400674
44,13078.9917704
45,11885.0019831
46,4244.94807662
47,6326.99352696
48,12879.237628
49,6937.11189757
50,7162.94112879
51,5679.66822698
52,7939.67129376
53,18613.4676107
55,5984.06438338
56,5969.55251913
57,21130.5622387
58,6326.91438326
60,10079.1493765
61,9896.72265376
62,7874.14925579
63,7401.70419195
64,7925.31952092
